Experiment ID,Subperiod,Strategy,Regime Type,Regime,Days,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Like,Average Daily Return,Win Rate
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Momentum 60D,overall,all_days,755,33.90%,10.23%,15.92%,0.643,0.0437%,34.17%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Momentum 60D,volatility_regime,high_volatility,271,1.39%,1.29%,12.08%,0.107,0.0080%,16.24%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Momentum 60D,volatility_regime,low_volatility,213,2.42%,2.87%,16.42%,0.175,0.0166%,48.83%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Momentum 60D,trend_regime,downtrend,233,-6.90%,-7.44%,9.57%,-0.777,-0.0288%,6.01%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Momentum 60D,trend_regime,uptrend,251,11.54%,11.58%,17.34%,0.668,0.0495%,53.39%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Buy and Hold,overall,all_days,755,25.60%,7.91%,29.59%,0.267,0.0476%,54.44%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Buy and Hold,volatility_regime,high_volatility,271,-6.04%,-5.63%,30.62%,-0.184,-0.0045%,47.23%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Buy and Hold,volatility_regime,low_volatility,213,-8.80%,-10.33%,19.01%,-0.543,-0.0361%,53.99%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Buy and Hold,trend_regime,downtrend,233,-18.88%,-20.25%,32.16%,-0.630,-0.0693%,44.64%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2020-2022,Buy and Hold,trend_regime,uptrend,251,5.63%,5.65%,18.93%,0.298,0.0289%,55.38%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Momentum 60D,overall,all_days,830,68.32%,17.13%,15.19%,1.128,0.0673%,45.06%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Momentum 60D,volatility_regime,high_volatility,306,11.57%,9.44%,13.85%,0.681,0.0396%,34.64%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Momentum 60D,volatility_regime,low_volatility,524,50.86%,21.87%,15.92%,1.374,0.0835%,51.15%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Momentum 60D,trend_regime,downtrend,76,10.79%,40.47%,9.19%,4.404,0.1366%,13.16%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Momentum 60D,trend_regime,uptrend,754,51.93%,15.00%,15.66%,0.958,0.0604%,48.28%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Buy and Hold,overall,all_days,830,154.13%,32.73%,19.85%,1.649,0.1202%,57.47%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Buy and Hold,volatility_regime,high_volatility,306,63.83%,50.16%,23.93%,2.096,0.1727%,59.15%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Buy and Hold,volatility_regime,low_volatility,524,55.12%,23.51%,17.03%,1.381,0.0896%,56.49%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Buy and Hold,trend_regime,downtrend,76,24.64%,107.60%,36.92%,2.915,0.3165%,60.53%
EXP-011_QQQ_BH_VS_MOMENTUM_SUBPERIOD_ROBUSTNESS,2023-2026,Buy and Hold,trend_regime,uptrend,754,103.89%,26.88%,17.23%,1.560,0.1004%,57.16%
